
  0%|                                                                                                                                                                                                                                                          | 0/9000 [00:00<?, ?it/s]
0.0004
time for getitem:  0.0007426738739013672
time for getitem:  0.0008370876312255859
time for getitem:  0.0008006095886230469
time for getitem:  0.0007917881011962891
time for getitem:  0.0010523796081542969
time for getitem:  0.0009942054748535156
time for getitem:  0.0011279582977294922
time for getitem:  0.00044345855712890625
time for getitem:  0.0010747909545898438
time for getitem:  0.0006666183471679688
time for getitem:  0.0004100799560546875
time for getitem:  0.0007257461547851562
time for getitem:  0.0004956722259521484
time for getitem:  0.0003504753112792969
time for getitem:  0.0008726119995117188
time for getitem:  0.0005457401275634766
time for getitem:  0.0007498264312744141
time for getitem:  0.001055002212524414
time for getitem:  0.0005056858062744141
time for getitem:  0.0007774829864501953
time for getitem:  0.0007505416870117188
time for getitem:  0.0006434917449951172
time for getitem:  0.0005536079406738281
time for getitem:  0.00045680999755859375
time for getitem:  0.0003829002380371094
time for getitem:  0.0005784034729003906
time for getitem:  0.0005307197570800781
time for getitem:  0.0006802082061767578
time for getitem:  0.0012881755828857422
time for getitem:  0.0005204677581787109
time for getitem:  0.0007369518280029297
time for getitem:  0.0008568763732910156
time for getitem:  0.0006778240203857422
time for getitem:  0.0006842613220214844
time for getitem:  0.011298418045043945
time for getitem:  0.011026144027709961
time for getitem:  0.016195058822631836
time for getitem:  0.015938758850097656
time for getitem:  0.0005600452423095703
time for getitem:  0.0007998943328857422
time for getitem:  0.0004267692565917969
time for getitem:  0.0007848739624023438
time for getitem:  0.0004601478576660156
time for getitem:  0.0009286403656005859
time for getitem:  0.0008137226104736328
time for getitem:  0.0004971027374267578
time for getitem:  0.0009152889251708984
time for getitem:  0.0007505416870117188
time for getitem:  0.0005218982696533203
time for getitem:  0.0006628036499023438
time for getitem:  0.001500844955444336
time for getitem:  0.0006759166717529297
time for getitem:  0.0004601478576660156
time for getitem:  0.0007367134094238281
time for getitem:  0.0005292892456054688
time for getitem:  0.0005140304565429688
time for getitem:  0.0005075931549072266
time for getitem:  0.0005197525024414062
time for getitem:  0.0009188652038574219
time for getitem:  0.0006272792816162109
time for getitem:  0.0005724430084228516
time for getitem:  0.0004718303680419922
time for getitem:  0.0005364418029785156
time for getitem:  0.00047659873962402344
time for getitem:  0.0003864765167236328
time for getitem:  0.0005841255187988281
time for getitem:  0.0005462169647216797
time for getitem:  0.001398324966430664
time for getitem:  0.0009996891021728516
time for getitem:  0.000989675521850586
time for getitem:  0.0005550384521484375
time for getitem:  0.00046062469482421875
time for getitem:  0.0005340576171875
time for getitem:  0.0006844997406005859
time for getitem:  0.0006847381591796875
time for getitem:  0.0006289482116699219
time for getitem:  0.0007865428924560547
time for getitem:  0.0008244514465332031
time for getitem:  0.0006690025329589844
time for getitem:  0.0008039474487304688
time for getitem:  0.0012962818145751953
time for getitem:  0.0006947517395019531
time for getitem:  0.0003838539123535156
time for getitem:  0.0007312297821044922
time for getitem:  0.0006809234619140625
time for getitem:  0.0007131099700927734
time for getitem:  0.0009684562683105469
time for getitem:  0.0003795623779296875
time for getitem:  0.0005080699920654297
time for getitem:  0.0005314350128173828
time for getitem:  0.0002288818359375
time for getitem:  0.0007765293121337891
time for getitem:  0.0007176399230957031
time for getitem:  0.0006563663482666016
time for getitem:  0.00044989585876464844
time for getitem:  0.0013270378112792969
time for getitem:  0.0009989738464355469
time for getitem:  0.0005826950073242188
time for getitem:  0.0007288455963134766
time for getitem:  0.0005383491516113281
time for getitem:  0.0005400180816650391
time for getitem:  0.0006427764892578125
time for getitem:  0.00116729736328125
time for getitem:  0.0007565021514892578
time for getitem:  0.0006537437438964844
time for getitem:  0.001001596450805664
time for getitem:  0.0012674331665039062
time for getitem:  0.0011599063873291016
time for getitem:  0.0008790493011474609
time for getitem:  0.000545501708984375
time for getitem:  0.0007812976837158203
time for getitem:  0.0003561973571777344
time for getitem:  0.0008029937744140625
time for getitem:  0.0005438327789306641
time for getitem:  0.0005986690521240234
time for getitem:  0.0006823539733886719
time for getitem:  0.0005128383636474609
